timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814842.962,-1000.000,-979.980,-417.969,-1000.000,0.000
1742814842.965,-804.688,-990.234,-399.902,-806.152,0.000
1742814842.969,-623.535,-1000.000,-520.508,-617.676,0.000
1742814842.973,-765.625,-1000.000,-525.391,-744.141,0.000
1742814842.977,-896.484,-993.652,-436.035,-884.277,0.000
1742814842.981,-996.094,-993.164,-494.141,-996.582,0.000
1742814842.985,-1000.000,-1000.000,-610.840,-1000.000,0.000
1742814842.989,-842.773,-1000.000,-652.344,-839.844,0.000
1742814842.993,-673.828,-1000.000,-441.895,-652.832,0.000
1742814842.997,-898.926,-998.047,-409.668,-880.371,0.000
1742814843.001,-1000.000,-985.352,-483.887,-1000.000,0.000
1742814843.004,-920.410,-987.793,-446.777,-922.363,0.000
1742814843.008,-523.926,-1000.000,-417.480,-536.621,0.000
1742814843.012,-430.176,-1000.000,-452.148,-429.199,0.000
1742814843.016,-862.305,-992.676,-479.492,-855.469,0.000
1742814843.020,-1000.000,-981.934,-425.293,-1000.000,0.000
1742814843.024,-949.707,-984.863,-441.406,-946.289,0.000
1742814843.028,-856.934,-996.094,-514.648,-848.145,0.000
1742814843.032,-896.484,-1000.000,-599.609,-888.672,0.000
1742814843.036,-1000.000,-999.023,-502.930,-996.582,0.000
1742814843.040,-988.281,-989.746,-375.000,-986.816,0.000
1742814843.043,-1000.000,-981.934,-459.473,-1000.000,0.000
1742814843.047,-934.082,-989.746,-521.484,-931.152,0.000
1742814843.051,-632.812,-1000.000,-464.355,-615.723,0.000
1742814843.055,-731.445,-1000.000,-383.789,-712.402,0.000
1742814843.059,-1000.000,-989.746,-494.141,-1000.000,0.000
1742814843.063,-1000.000,-982.910,-558.105,-1000.000,0.000
1742814843.067,-797.363,-994.629,-457.520,-792.969,0.000
1742814843.071,-565.918,-1000.000,-469.727,-550.293,0.000
1742814843.075,-826.660,-1000.000,-597.656,-810.547,0.000
1742814843.079,-1000.000,-1000.000,-684.082,-1000.000,0.000
1742814843.083,-1000.000,-998.535,-494.141,-1000.000,0.000
1742814843.086,-743.164,-998.535,-420.898,-733.398,0.000
1742814843.090,-597.656,-1000.000,-467.285,-590.820,0.000
1742814843.094,-816.406,-1000.000,-419.434,-821.289,0.000
1742814843.098,-929.199,-993.652,-392.090,-929.688,0.000
1742814843.102,-1000.000,-982.910,-453.125,-1000.000,0.000
1742814843.106,-977.539,-990.723,-495.117,-981.445,0.000
1742814843.110,-558.594,-1000.000,-440.430,-562.500,0.000
1742814843.114,-520.020,-1000.000,-408.203,-502.930,0.000
1742814843.118,-927.734,-992.676,-447.754,-916.504,0.000
1742814843.122,-1000.000,-995.605,-541.504,-1000.000,0.000
1742814843.126,-927.734,-1000.000,-483.887,-926.758,0.000
1742814843.129,-486.328,-999.512,-403.320,-478.516,0.000
1742814843.133,-558.105,-1000.000,-460.449,-546.387,0.000
1742814843.137,-991.211,-994.629,-549.805,-989.746,0.000
1742814843.141,-1000.000,-982.910,-466.797,-1000.000,0.000
1742814843.145,-864.258,-988.281,-403.809,-864.746,0.000
1742814843.149,-646.973,-1000.000,-502.930,-642.090,0.000
1742814843.153,-736.816,-1000.000,-522.949,-712.402,0.000
1742814843.157,-901.855,-994.629,-411.621,-885.742,0.000
1742814843.161,-1000.000,-988.281,-474.609,-1000.000,0.000
1742814843.165,-1000.000,-996.582,-559.570,-1000.000,0.000
1742814843.168,-913.574,-1000.000,-550.293,-907.715,0.000
1742814843.172,-861.816,-1000.000,-497.070,-848.633,0.000
1742814843.176,-993.164,-1000.000,-466.797,-990.234,0.000
1742814843.180,-1000.000,-989.746,-613.770,-1000.000,0.000
1742814843.184,-961.914,-992.188,-631.836,-959.961,0.000
1742814843.188,-563.477,-1000.000,-397.461,-557.617,0.000
1742814843.192,-354.980,-1000.000,-428.711,-348.633,0.000
1742814843.196,-793.457,-996.094,-490.234,-789.551,0.000
1742814843.200,-1000.000,-984.375,-436.035,-1000.000,0.000
1742814843.204,-954.590,-985.352,-397.949,-952.148,0.000
1742814843.208,-669.922,-998.047,-445.801,-660.156,0.000
1742814843.211,-656.738,-1000.000,-510.742,-644.043,0.000
1742814843.215,-950.195,-999.512,-513.184,-943.848,0.000
1742814843.219,-998.047,-1000.000,-490.723,-999.023,0.000
1742814843.223,-995.117,-994.141,-507.324,-994.141,0.000
1742814843.227,-1000.000,-991.699,-541.016,-1000.000,0.000
1742814843.231,-596.191,-1000.000,-448.730,-587.891,0.000
1742814843.235,-607.910,-1000.000,-378.906,-584.961,0.000
1742814843.239,-1000.000,-990.234,-480.957,-989.258,0.000
1742814843.243,-1000.000,-982.910,-527.832,-1000.000,0.000
1742814843.247,-756.348,-995.117,-414.551,-744.629,0.000
