timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814967.524,285.156,-586.914,-434.082,310.059,0.000
1742814967.528,-447.266,-386.230,-449.219,-423.828,0.000
1742814967.532,-1000.000,-817.871,-444.824,-1000.000,0.000
1742814967.536,-1000.000,-1000.000,-413.574,-1000.000,0.000
1742814967.540,-531.250,-987.305,-470.703,-537.109,0.000
1742814967.544,-123.535,-964.844,-541.992,-114.258,0.000
1742814967.547,-742.676,-941.895,-588.867,-727.051,0.000
1742814967.551,-1000.000,-980.469,-498.047,-1000.000,0.000
1742814967.555,-964.355,-981.445,-377.441,-963.379,0.000
1742814967.559,-701.660,-1000.000,-515.625,-710.449,0.000
1742814967.563,-13.184,-831.543,-585.938,-33.691,0.000
1742814967.567,-191.406,-351.074,-416.016,-195.312,0.000
1742814967.571,-939.453,-458.984,-388.184,-937.500,0.000
1742814967.575,-1000.000,-899.414,-434.570,-1000.000,0.000
1742814967.579,-613.281,-1000.000,-445.312,-620.117,0.000
1742814967.583,265.625,-770.508,-438.965,272.461,0.000
1742814967.586,-90.820,-409.668,-452.637,-75.195,0.000
1742814967.590,-934.082,-708.984,-523.926,-929.199,0.000
1742814967.594,-1000.000,-1000.000,-515.625,-1000.000,0.000
1742814967.598,-812.500,-998.047,-451.172,-818.848,0.000
1742814967.602,73.730,-817.871,-463.867,76.660,0.000
1742814967.606,-286.133,-791.016,-556.152,-271.484,0.000
1742814967.610,-1000.000,-794.922,-479.980,-1000.000,0.000
1742814967.614,-996.582,-833.496,-383.789,-996.094,0.000
1742814967.618,-861.816,-1000.000,-430.664,-867.188,0.000
1742814967.622,-164.062,-920.898,-476.562,-176.270,0.000
1742814967.626,6.836,-510.742,-434.570,24.414,0.000
1742814967.629,-749.512,-416.504,-395.508,-729.492,0.000
1742814967.633,-1000.000,-844.238,-481.445,-1000.000,0.000
1742814967.637,-967.773,-1000.000,-552.246,-969.727,0.000
1742814967.641,-428.711,-1000.000,-537.109,-442.871,0.000
1742814967.645,-169.922,-761.230,-459.961,-159.668,0.000
1742814967.649,-750.000,-625.488,-513.672,-733.887,0.000
1742814967.653,-1000.000,-983.398,-648.926,-1000.000,0.000
1742814967.657,-913.086,-1000.000,-448.242,-914.062,0.000
1742814967.661,-94.238,-890.625,-416.504,-94.238,0.000
1742814967.665,76.660,-761.230,-480.957,102.539,0.000
1742814967.669,-781.250,-624.023,-444.336,-761.719,0.000
1742814967.672,-1000.000,-742.188,-402.344,-1000.000,0.000
1742814967.676,-933.594,-1000.000,-404.297,-932.129,0.000
1742814967.680,-474.609,-996.094,-480.957,-478.516,0.000
1742814967.684,-152.344,-914.551,-548.340,-152.832,0.000
1742814967.688,-709.473,-735.352,-491.699,-704.590,0.000
1742814967.692,-1000.000,-790.039,-397.461,-1000.000,0.000
1742814967.696,-1000.000,-1000.000,-597.656,-1000.000,0.000
1742814967.700,-612.793,-985.352,-638.184,-614.258,0.000
1742814967.704,267.090,-637.695,-418.945,284.180,0.000
1742814967.708,-340.820,-426.270,-456.543,-322.266,0.000
1742814967.712,-1000.000,-817.871,-490.234,-1000.000,0.000
1742814967.715,-1000.000,-1000.000,-405.273,-1000.000,0.000
1742814967.719,-476.074,-958.984,-416.504,-473.145,0.000
1742814967.723,196.777,-812.012,-495.605,208.984,0.000
1742814967.727,-484.375,-655.273,-508.789,-469.727,0.000
1742814967.731,-1000.000,-810.547,-507.812,-1000.000,0.000
1742814967.735,-993.164,-1000.000,-483.887,-994.629,0.000
1742814967.739,-846.680,-1000.000,-545.898,-839.844,0.000
1742814967.743,-503.418,-982.422,-627.441,-522.461,0.000
1742814967.747,-480.469,-549.316,-445.312,-500.488,0.000
1742814967.751,-866.211,-408.691,-380.859,-860.840,0.000
