timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813955.905,24.414,-100.586,174.805,-65.430,0.000
1742813955.909,42.480,-118.164,-33.691,-30.762,0.000
1742813955.913,4.883,-126.953,-67.383,-41.504,0.000
1742813955.916,30.273,-125.977,134.766,41.992,0.000
1742813955.920,36.133,-90.820,158.203,3.418,0.000
1742813955.924,36.133,-55.664,40.039,-14.160,0.000
1742813955.928,17.578,-67.871,-97.656,-64.941,0.000
1742813955.932,-15.625,-63.477,108.398,-30.762,0.000
1742813955.936,14.160,-67.871,208.008,47.852,0.000
1742813955.940,49.805,-41.992,145.996,-26.367,0.000
1742813955.944,40.527,-28.809,120.117,-34.668,0.000
1742813955.948,60.547,-42.969,144.531,-4.883,0.000
1742813955.948,60.547,-42.969,144.531,-4.883,0.000
1742813955.952,31.738,-27.832,115.723,-24.414,0.000
1742813955.956,0.977,-25.879,61.035,-17.090,0.000
1742813955.959,-20.996,-31.738,121.094,-43.945,0.000
1742813955.963,-9.277,-13.672,162.598,-21.484,0.000
1742813955.967,27.832,-16.602,104.492,34.668,0.000
1742813955.971,60.059,-19.043,-17.578,8.789,0.000
1742813955.975,23.926,-15.625,66.895,-40.527,0.000
1742813955.979,-15.625,-18.555,236.816,-74.219,0.000
1742813955.983,15.625,-28.809,145.020,-46.387,0.000
1742813955.987,54.688,-9.277,-68.359,-6.348,0.000
1742813955.991,33.691,2.930,57.129,-16.602,0.000
1742813955.995,-28.320,-11.230,231.934,-98.633,0.000
1742813955.999,13.672,-15.625,135.254,-73.730,0.000
1742813956.002,67.383,-21.973,114.746,71.777,0.000
1742813956.006,57.129,-12.207,141.113,-32.715,0.000
1742813956.010,21.973,-29.297,69.336,-50.293,0.000
1742813956.014,10.742,-20.508,80.566,142.090,0.000
1742813956.018,42.969,1.465,127.930,81.055,0.000
1742813956.022,18.066,-1.465,155.273,-19.531,0.000
1742813956.026,28.320,-7.812,187.988,33.691,0.000
1742813956.030,28.809,-25.391,-27.832,36.133,0.000
1742813956.034,-1.465,-15.625,-67.871,-89.844,0.000
1742813956.038,12.695,-30.762,187.012,-100.586,0.000
1742813956.041,38.086,-28.809,168.457,-81.543,0.000
1742813956.045,46.387,-13.184,52.246,-59.570,0.000
1742813956.049,5.371,-46.875,61.035,54.199,0.000
1742813956.053,-13.184,-46.875,179.688,17.090,0.000
1742813956.057,19.531,-44.922,136.719,10.742,0.000
1742813956.061,13.672,-79.590,106.934,35.645,0.000
1742813956.065,34.668,-68.848,84.473,-91.797,0.000
1742813956.069,47.363,-81.543,107.910,-47.363,0.000
1742813956.073,5.371,-94.238,141.602,28.809,0.000
1742813956.077,-5.859,-62.988,-44.922,-34.180,0.000
1742813956.081,36.133,-69.336,43.457,7.324,0.000
1742813956.084,30.273,-85.938,231.934,24.902,0.000
1742813956.088,0.977,-85.449,35.645,-103.027,0.000
1742813956.092,-13.184,-126.465,-10.254,-79.590,0.000
1742813956.096,-28.809,-132.324,153.320,16.113,0.000
1742813956.100,-0.977,-78.613,182.617,7.324,0.000
1742813956.104,-12.695,-79.102,68.359,-30.273,0.000
1742813956.108,-29.297,-79.590,-83.496,-31.250,0.000
1742813956.112,1.953,-48.340,-46.875,-14.648,0.000
1742813956.116,22.461,-14.648,132.324,1.465,0.000
1742813956.120,20.020,19.043,87.402,-24.414,0.000
1742813956.124,19.531,44.922,39.551,-81.055,0.000
1742813956.127,47.852,40.039,199.219,0.000,0.000
1742813956.131,4.883,20.508,145.996,6.836,0.000
1742813956.135,-14.648,13.184,98.633,-79.590,0.000
1742813956.139,11.230,-4.395,171.387,8.789,0.000
1742813956.143,12.695,19.043,190.918,47.363,0.000
1742813956.147,6.348,31.250,98.145,-63.965,0.000
1742813956.151,-11.230,18.066,30.273,-47.363,0.000
1742813956.155,-0.488,34.180,76.660,-0.488,0.000
1742813956.159,-16.602,3.906,127.441,-30.273,0.000
1742813956.163,-16.113,-22.461,157.715,-52.246,0.000
1742813956.166,9.277,-12.695,8.789,-25.879,0.000
1742813956.170,5.859,18.555,44.922,-64.453,0.000
