timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813898.370,0.000,7.324,-453.125,29.297,0.000
1742813898.374,0.000,7.324,-440.918,27.832,0.000
1742813898.378,0.000,2.441,-415.527,31.250,0.000
1742813898.381,0.000,0.488,-406.738,30.273,0.000
1742813898.385,0.000,5.371,-428.711,32.227,0.000
1742813898.389,0.000,4.395,-463.379,35.645,0.000
1742813898.393,0.000,-3.418,-475.586,18.066,0.000
1742813898.397,0.000,-1.465,-454.102,20.020,0.000
1742813898.401,0.000,4.395,-424.805,34.668,0.000
1742813898.405,0.000,-2.930,-426.270,24.902,0.000
1742813898.409,0.000,-1.465,-437.500,8.301,0.000
1742813898.413,0.000,0.488,-452.148,5.371,0.000
1742813898.417,-18.555,-4.883,-460.449,21.484,0.000
1742813898.421,-10.254,-3.906,-467.773,27.832,0.000
1742813898.424,-17.090,-6.348,-465.820,26.855,0.000
1742813898.428,-25.391,-15.137,-452.148,19.531,0.000
1742813898.432,-37.598,-15.625,-455.078,5.859,0.000
1742813898.436,-30.273,-10.254,-474.609,1.953,0.000
1742813898.440,-22.949,-7.812,-482.422,12.695,0.000
1742813898.444,-8.789,0.000,-492.188,19.043,0.000
1742813898.448,2.441,-0.977,-527.344,19.043,0.000
1742813898.452,-15.137,-14.648,-572.266,13.672,0.000
1742813898.456,-26.367,-16.602,-607.422,11.230,0.000
1742813898.460,-20.508,-12.695,-635.742,25.391,0.000
1742813898.464,-3.418,-12.207,-646.973,33.203,0.000
1742813898.467,3.906,-15.137,-654.297,23.926,0.000
1742813898.471,-15.137,-22.461,-670.410,14.648,0.000
1742813898.475,-33.203,-34.668,-672.363,2.930,0.000
1742813898.479,-34.180,-24.902,-650.879,-15.625,0.000
1742813898.483,-18.066,-7.324,-579.590,4.395,0.000
1742813898.487,-27.344,-7.812,-503.418,10.254,0.000
1742813898.491,-52.734,-38.086,-452.637,-7.812,0.000
1742813898.495,-62.012,-53.223,-374.023,-10.254,0.000
1742813898.499,-56.641,-24.414,-299.805,-17.578,0.000
1742813898.503,-58.105,-11.230,-269.531,-35.156,0.000
1742813898.506,-59.570,-15.625,-255.859,-31.738,0.000
1742813898.510,-71.777,-19.043,-258.789,-30.762,0.000
1742813898.514,-74.707,-17.090,-274.414,-35.156,0.000
1742813898.518,-68.848,-16.602,-273.926,-24.902,0.000
1742813898.522,-50.293,-33.691,-261.719,-14.648,0.000
1742813898.526,-30.762,-63.965,-257.324,-11.230,0.000
1742813898.530,-57.129,-35.645,-262.695,-21.973,0.000
1742813898.534,-78.125,3.418,-251.953,-36.621,0.000
1742813898.538,-72.754,6.348,-237.305,-26.855,0.000
1742813898.542,-58.105,-0.977,-224.609,-14.160,0.000
1742813898.546,-52.246,-13.672,-213.379,-36.621,0.000
1742813898.549,-48.828,-13.672,-209.961,-32.227,0.000
1742813898.553,-54.688,-15.625,-202.148,-39.062,0.000
1742813898.557,-65.430,-26.855,-201.172,-84.473,0.000
1742813898.561,-53.711,-29.297,-192.383,-44.922,0.000
1742813898.565,-35.645,-27.832,-192.383,-2.441,0.000
1742813898.569,-32.227,-29.785,-206.543,-26.367,0.000
1742813898.573,-43.945,-27.344,-203.125,-36.621,0.000
