timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813782.542,-59.570,-27.832,-113.770,-40.527,0.000
1742813782.546,-59.570,-29.297,-119.629,-48.828,0.000
1742813782.550,-68.359,-31.738,-124.512,-73.730,0.000
1742813782.554,-68.848,-27.832,-126.953,-57.129,0.000
1742813782.558,-64.941,-27.344,-123.535,-48.828,0.000
1742813782.562,-55.176,-22.949,-116.699,-75.195,0.000
1742813782.566,-36.133,-20.996,-121.094,-83.008,0.000
1742813782.570,-43.457,-28.809,-127.930,-72.754,0.000
1742813782.573,-58.105,-33.203,-123.047,-60.547,0.000
1742813782.577,-55.664,-35.645,-122.559,-50.293,0.000
1742813782.581,-41.504,-32.715,-118.164,-29.785,0.000
1742813782.585,-34.180,-25.879,-115.723,-15.137,0.000
1742813782.589,-42.480,-22.949,-122.070,-34.180,0.000
1742813782.593,-45.410,-20.508,-125.000,-42.969,0.000
1742813782.597,-38.574,-18.555,-125.488,-26.367,0.000
1742813782.601,-13.672,-17.578,-122.559,-20.508,0.000
1742813782.605,-9.766,-21.973,-121.582,-14.648,0.000
1742813782.609,-26.855,-22.949,-117.676,-20.508,0.000
1742813782.613,-26.855,-18.066,-119.141,-15.625,0.000
1742813782.616,-23.926,-20.020,-123.047,-22.949,0.000
1742813782.620,-29.297,-21.484,-119.141,-40.039,0.000
1742813782.624,-41.016,-22.461,-119.141,-41.992,0.000
1742813782.628,-31.738,-19.531,-114.746,-18.555,0.000
1742813782.632,-23.438,-15.625,-114.258,1.465,0.000
1742813782.636,-28.320,-19.531,-118.164,-12.695,0.000
1742813782.640,-24.902,-29.297,-109.375,-18.555,0.000
1742813782.644,-36.621,-44.434,-118.164,-35.645,0.000
1742813782.648,-50.781,-33.203,-129.395,-69.336,0.000
1742813782.652,-44.434,-20.996,-125.000,-70.801,0.000
1742813782.655,-36.621,-23.438,-116.699,-32.715,0.000
1742813782.659,-37.109,-18.555,-116.211,-16.113,0.000
1742813782.663,-33.203,-16.113,-117.188,-10.742,0.000
1742813782.667,-26.367,-21.973,-115.234,-9.277,0.000
1742813782.671,-23.926,-24.902,-120.605,-15.137,0.000
1742813782.675,-33.691,-20.508,-116.211,-20.020,0.000
1742813782.679,-29.785,-14.160,-112.305,-41.992,0.000
1742813782.683,-27.344,-16.602,-118.164,-45.898,0.000
1742813782.687,-36.621,-24.414,-126.465,-23.926,0.000
1742813782.691,-40.039,-21.484,-125.488,-33.203,0.000
1742813782.694,-37.598,-17.090,-120.117,-30.762,0.000
1742813782.698,-44.434,-17.578,-119.629,-13.184,0.000
1742813782.702,-52.246,-23.438,-127.441,-11.719,0.000
1742813782.706,-45.898,-29.297,-132.324,-2.930,0.000
1742813782.710,-50.293,-27.344,-129.883,-30.273,0.000
1742813782.714,-47.852,-28.809,-126.465,-58.594,0.000
1742813782.718,-40.039,-32.715,-131.348,-57.617,0.000
1742813782.722,-42.480,-31.250,-130.371,-47.852,0.000
1742813782.726,-54.199,-28.320,-124.512,-53.223,0.000
1742813782.730,-60.547,-27.832,-123.047,-39.551,0.000
1742813782.734,-58.594,-29.297,-125.977,-36.133,0.000
1742813782.737,-52.734,-23.926,-124.023,-51.758,0.000
1742813782.741,-55.664,-24.902,-123.535,-79.590,0.000
1742813782.745,-66.406,-27.832,-127.930,-104.004,0.000
1742813782.749,-75.684,-30.273,-131.348,-74.707,0.000
1742813782.753,-82.520,-29.297,-132.324,-55.664,0.000
1742813782.757,-73.730,-28.320,-125.977,-48.340,0.000
1742813782.761,-67.871,-33.203,-125.000,-47.852,0.000
1742813782.765,-65.918,-30.273,-129.883,-74.707,0.000
1742813782.769,-53.711,-27.344,-124.023,-95.215,0.000
1742813782.773,-42.969,-26.367,-120.605,-80.078,0.000
1742813782.777,-37.109,-22.949,-125.488,-64.941,0.000
1742813782.780,-34.180,-26.855,-124.512,-58.594,0.000
1742813782.784,-33.203,-29.297,-128.906,-41.504,0.000
1742813782.788,-41.016,-28.809,-135.742,-42.969,0.000
1742813782.792,-51.270,-28.320,-138.184,-68.359,0.000
1742813782.796,-49.316,-25.391,-138.672,-68.359,0.000
