timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814907.920,-479.492,-1000.000,-533.203,-476.074,0.000
1742814907.924,-794.434,-1000.000,-548.828,-783.203,0.000
1742814907.928,-944.824,-990.723,-416.504,-938.477,0.000
1742814907.931,-986.816,-980.469,-422.852,-986.328,0.000
1742814907.935,-967.773,-984.375,-482.422,-958.008,0.000
1742814907.939,-823.730,-996.094,-538.574,-808.105,0.000
1742814907.943,-833.008,-1000.000,-499.512,-809.570,0.000
1742814907.947,-995.605,-992.676,-384.766,-982.422,0.000
1742814907.951,-1000.000,-983.887,-604.980,-1000.000,0.000
1742814907.955,-865.234,-992.676,-666.504,-870.117,0.000
1742814907.959,-519.043,-1000.000,-459.473,-523.926,0.000
1742814907.963,-732.910,-1000.000,-514.160,-720.215,0.000
1742814907.967,-1000.000,-991.211,-484.863,-1000.000,0.000
1742814907.970,-1000.000,-982.422,-417.480,-1000.000,0.000
1742814907.974,-890.625,-991.211,-421.387,-887.695,0.000
1742814907.978,-539.062,-1000.000,-470.703,-526.855,0.000
1742814907.982,-676.758,-1000.000,-504.395,-655.273,0.000
1742814907.986,-1000.000,-1000.000,-523.926,-999.023,0.000
1742814907.990,-984.863,-1000.000,-477.051,-986.816,0.000
1742814907.994,-1000.000,-1000.000,-520.020,-1000.000,0.000
1742814907.998,-957.031,-997.559,-591.309,-955.078,0.000
1742814908.002,-586.426,-999.512,-455.078,-575.684,0.000
1742814908.006,-720.215,-1000.000,-382.812,-703.613,0.000
1742814908.009,-1000.000,-985.352,-501.953,-1000.000,0.000
1742814908.013,-941.895,-982.910,-544.922,-938.477,0.000
1742814908.017,-774.414,-998.535,-462.891,-759.766,0.000
1742814908.021,-580.566,-1000.000,-466.309,-554.199,0.000
1742814908.025,-758.301,-996.582,-446.289,-739.746,0.000
1742814908.029,-1000.000,-985.352,-462.402,-1000.000,0.000
1742814908.033,-1000.000,-987.305,-511.719,-1000.000,0.000
1742814908.037,-813.477,-998.535,-472.656,-824.219,0.000
1742814908.041,-778.809,-1000.000,-599.609,-791.992,0.000
1742814908.045,-1000.000,-998.047,-627.930,-1000.000,0.000
1742814908.049,-990.234,-989.258,-381.836,-991.211,0.000
1742814908.052,-1000.000,-985.352,-440.918,-995.117,0.000
