timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814743.247,-920.898,-968.750,-363.281,-920.898,0.000
1742814743.251,-939.941,-961.426,-539.062,-931.152,0.000
1742814743.255,-959.961,-963.867,-677.246,-945.801,0.000
1742814743.259,-959.961,-960.938,-582.520,-937.500,0.000
1742814743.263,-961.426,-961.914,-333.008,-927.734,0.000
1742814743.266,-965.820,-970.215,-264.648,-946.289,0.000
1742814743.270,-968.750,-968.262,-485.840,-972.656,0.000
1742814743.274,-968.750,-968.262,-662.109,-964.844,0.000
1742814743.278,-970.703,-970.703,-569.336,-955.078,0.000
1742814743.282,-971.680,-978.027,-292.969,-975.098,0.000
1742814743.286,-954.590,-978.027,-312.988,-963.379,0.000
1742814743.290,-937.988,-962.402,-520.996,-946.289,0.000
1742814743.294,-942.871,-959.473,-641.113,-969.727,0.000
1742814743.298,-944.824,-962.402,-605.469,-967.773,0.000
1742814743.302,-937.012,-964.844,-428.223,-955.566,0.000
1742814743.306,-932.617,-972.656,-348.633,-959.961,0.000
1742814743.309,-938.965,-979.492,-469.238,-957.520,0.000
1742814743.313,-945.312,-975.098,-625.000,-944.336,0.000
1742814743.317,-955.078,-973.145,-609.863,-952.637,0.000
1742814743.321,-963.379,-974.609,-456.543,-954.102,0.000
1742814743.325,-956.543,-975.586,-226.074,-955.078,0.000
1742814743.329,-942.383,-966.797,-340.820,-963.867,0.000
1742814743.333,-931.641,-951.660,-671.387,-951.172,0.000
1742814743.337,-928.711,-949.707,-648.926,-943.848,0.000
1742814743.341,-928.711,-961.426,-450.684,-932.129,0.000
1742814743.345,-917.969,-964.844,-345.703,-919.434,0.000
1742814743.349,-914.062,-965.332,-433.105,-924.805,0.000
1742814743.352,-931.152,-975.586,-599.121,-933.105,0.000
1742814743.356,-943.848,-972.656,-637.695,-932.617,0.000
1742814743.360,-948.242,-968.262,-469.238,-932.617,0.000
1742814743.364,-944.824,-959.473,-300.293,-928.223,0.000
1742814743.368,-940.918,-949.219,-344.727,-934.570,0.000
1742814743.372,-940.430,-947.754,-567.383,-959.473,0.000
1742814743.376,-940.918,-951.172,-678.223,-962.891,0.000
1742814743.380,-948.242,-958.984,-533.691,-956.543,0.000
1742814743.384,-952.637,-960.938,-307.617,-950.684,0.000
1742814743.388,-952.637,-969.727,-351.562,-960.449,0.000
1742814743.392,-954.102,-976.562,-610.840,-974.121,0.000
1742814743.395,-968.262,-972.168,-690.430,-978.516,0.000
1742814743.399,-979.492,-973.145,-536.621,-980.957,0.000
1742814743.403,-988.281,-980.469,-359.863,-979.004,0.000
1742814743.407,-990.723,-979.980,-363.281,-969.727,0.000
1742814743.411,-987.305,-974.609,-544.922,-953.613,0.000
1742814743.415,-988.281,-975.098,-618.652,-970.703,0.000
1742814743.419,-978.516,-978.027,-510.742,-975.098,0.000
1742814743.423,-965.332,-979.004,-392.578,-942.383,0.000
1742814743.427,-950.684,-972.168,-360.840,-937.500,0.000
1742814743.431,-938.965,-967.285,-511.719,-936.035,0.000
1742814743.435,-947.266,-971.680,-670.898,-940.430,0.000
1742814743.438,-947.266,-966.797,-619.141,-937.500,0.000
1742814743.442,-935.059,-963.867,-371.094,-916.504,0.000
1742814743.446,-937.012,-968.750,-280.273,-916.992,0.000
1742814743.450,-942.871,-972.168,-498.047,-934.570,0.000
1742814743.454,-937.500,-970.703,-637.695,-932.129,0.000
1742814743.458,-931.152,-975.586,-571.289,-920.410,0.000
1742814743.462,-930.664,-976.074,-296.875,-955.078,0.000
1742814743.466,-924.805,-967.773,-217.773,-958.008,0.000
1742814743.470,-923.340,-964.355,-472.656,-929.688,0.000
1742814743.473,-936.035,-964.355,-622.070,-948.730,0.000
1742814743.477,-952.637,-964.844,-583.008,-961.914,0.000
1742814743.481,-953.125,-957.031,-427.734,-957.031,0.000
1742814743.485,-935.547,-951.660,-306.641,-939.941,0.000
1742814743.489,-933.105,-961.426,-418.457,-929.199,0.000
1742814743.493,-949.707,-965.820,-633.301,-948.730,0.000
1742814743.497,-956.543,-970.215,-613.770,-955.566,0.000
1742814743.501,-958.496,-979.980,-425.293,-937.012,0.000
1742814743.505,-954.590,-978.516,-190.430,-950.684,0.000
1742814743.509,-953.613,-972.656,-265.137,-983.887,0.000
1742814743.513,-955.078,-956.543,-625.000,-969.238,0.000
1742814743.516,-952.148,-948.242,-634.766,-951.172,0.000
1742814743.520,-958.008,-958.984,-438.477,-952.637,0.000
1742814743.524,-956.543,-965.332,-270.996,-958.496,0.000
1742814743.528,-940.918,-965.820,-349.609,-945.801,0.000
1742814743.532,-941.895,-965.820,-569.824,-946.777,0.000
1742814743.536,-951.172,-975.586,-626.953,-956.543,0.000
1742814743.540,-957.520,-981.445,-494.629,-955.566,0.000
1742814743.544,-960.938,-976.562,-291.992,-951.660,0.000
1742814743.548,-959.961,-980.957,-278.809,-945.312,0.000
1742814743.552,-950.684,-972.168,-501.465,-950.684,0.000
1742814743.555,-949.707,-962.402,-613.281,-953.613,0.000
1742814743.559,-951.172,-965.332,-520.996,-932.617,0.000
1742814743.563,-946.289,-971.191,-242.676,-926.758,0.000
1742814743.567,-938.965,-974.609,-166.992,-949.707,0.000
1742814743.571,-937.988,-978.027,-508.301,-956.055,0.000
1742814743.575,-953.125,-981.934,-646.484,-957.520,0.000
1742814743.579,-963.379,-975.586,-512.207,-964.355,0.000
1742814743.583,-959.961,-967.773,-290.527,-956.543,0.000
1742814743.587,-951.172,-959.961,-247.559,-963.379,0.000
1742814743.591,-952.148,-960.938,-455.078,-961.914,0.000
1742814743.595,-959.473,-967.773,-580.078,-964.355,0.000
1742814743.598,-958.984,-973.145,-530.762,-974.609,0.000
1742814743.602,-950.684,-977.051,-342.285,-951.172,0.000
