timestamps,TP9,AF7,AF8,TP10,Right AUX
1742814673.921,-702.148,-731.445,-44.434,-700.195,0.000
1742814673.925,-709.961,-724.121,-539.551,-701.660,0.000
1742814673.929,-706.543,-725.098,-371.094,-705.566,0.000
1742814673.933,-692.383,-727.539,232.910,-693.359,0.000
1742814673.937,-690.430,-733.398,382.812,-689.941,0.000
1742814673.941,-698.730,-740.723,-13.672,-704.102,0.000
1742814673.944,-700.684,-730.469,-556.152,-717.773,0.000
1742814673.948,-696.777,-725.098,-375.488,-705.566,0.000
1742814673.952,-689.453,-734.375,282.227,-686.523,0.000
1742814673.956,-690.918,-736.816,374.023,-695.801,0.000
1742814673.960,-699.707,-734.863,-15.625,-701.660,0.000
1742814673.964,-709.473,-729.980,-493.164,-710.938,0.000
1742814673.968,-718.262,-729.980,-436.523,-710.938,0.000
1742814673.972,-717.285,-736.816,114.746,-700.684,0.000
1742814673.976,-717.773,-738.281,365.234,-718.262,0.000
1742814673.980,-723.633,-738.770,134.766,-735.840,0.000
1742814673.984,-723.145,-738.770,-409.180,-739.258,0.000
1742814673.987,-719.727,-738.281,-473.145,-730.957,0.000
1742814673.991,-719.727,-744.141,97.168,-713.867,0.000
1742814673.995,-716.309,-750.488,422.363,-696.289,0.000
1742814673.999,-714.844,-742.188,208.008,-693.848,0.000
1742814674.003,-708.496,-729.492,-363.281,-708.008,0.000
1742814674.007,-705.566,-727.539,-488.770,-702.637,0.000
1742814674.011,-707.520,-729.004,27.832,-694.824,0.000
1742814674.015,-699.219,-730.469,397.949,-698.242,0.000
1742814674.019,-691.406,-727.051,224.609,-695.312,0.000
1742814674.023,-694.824,-732.422,-327.637,-704.590,0.000
1742814674.027,-696.777,-729.492,-550.781,-703.613,0.000
1742814674.030,-689.941,-717.285,-100.586,-687.500,0.000
1742814674.034,-691.406,-726.562,373.047,-686.035,0.000
1742814674.038,-694.824,-734.375,323.730,-689.453,0.000
1742814674.042,-705.078,-728.516,-73.242,-685.059,0.000
1742814674.046,-713.379,-721.191,-510.254,-710.938,0.000
1742814674.050,-702.637,-724.609,-234.375,-715.820,0.000
1742814674.054,-693.848,-735.840,317.871,-693.359,0.000
1742814674.058,-690.430,-742.188,326.660,-698.242,0.000
1742814674.062,-690.918,-739.258,-128.418,-701.660,0.000
1742814674.066,-690.430,-728.027,-515.625,-699.707,0.000
1742814674.069,-685.059,-725.586,-226.074,-702.637,0.000
1742814674.073,-683.105,-743.652,294.922,-702.637,0.000
