timestamps,TP9,AF7,AF8,TP10,Right AUX
1742813841.583,-47.852,-39.062,-155.273,-115.234,0.000
1742813841.586,-33.691,-37.109,-100.098,-131.348,0.000
1742813841.590,-30.273,-38.574,-65.918,-95.703,0.000
1742813841.594,-23.438,-42.480,-95.215,-79.102,0.000
1742813841.598,-24.902,-44.922,-123.047,-90.820,0.000
1742813841.602,-33.203,-38.086,-118.164,-80.566,0.000
1742813841.606,-28.320,-34.180,-111.816,-73.242,0.000
1742813841.610,-29.785,-37.109,-119.141,-59.082,0.000
1742813841.614,-21.484,-33.691,-132.324,-42.480,0.000
1742813841.618,-6.836,-29.297,-155.762,-15.625,0.000
1742813841.621,-9.277,-29.297,-145.020,-20.508,0.000
1742813841.625,-5.371,-29.785,-102.051,-27.832,0.000
1742813841.629,-2.930,-35.156,-99.121,-13.184,0.000
1742813841.633,2.930,-33.203,-129.395,-9.277,0.000
1742813841.637,8.789,-29.297,-173.828,-16.113,0.000
1742813841.641,0.000,-31.738,-209.961,-10.742,0.000
1742813841.645,-7.324,-31.250,-233.887,7.812,0.000
1742813841.649,-5.371,-31.250,-256.348,12.207,0.000
1742813841.653,7.324,-36.133,-279.785,27.344,0.000
1742813841.657,21.484,-40.527,-301.270,22.949,0.000
1742813841.661,2.930,-39.551,-310.059,6.836,0.000
1742813841.664,-16.602,-36.621,-312.988,33.203,0.000
1742813841.668,-8.789,-31.250,-312.012,28.320,0.000
1742813841.672,2.441,-30.762,-331.055,26.367,0.000
1742813841.676,2.930,-34.668,-345.703,52.734,0.000
1742813841.680,7.324,-38.086,-333.496,55.176,0.000
1742813841.684,10.742,-37.109,-323.730,58.594,0.000
1742813841.688,3.906,-37.598,-301.270,44.922,0.000
1742813841.692,11.230,-33.203,-259.277,44.922,0.000
1742813841.696,29.297,-29.785,-229.004,60.059,0.000
1742813841.700,28.809,-29.785,-226.562,49.805,0.000
1742813841.703,19.043,-29.297,-231.445,45.898,0.000
1742813841.707,14.648,-27.344,-211.914,41.504,0.000
1742813841.711,27.832,-23.438,-183.105,57.129,0.000
1742813841.715,36.621,-21.484,-133.789,54.199,0.000
1742813841.719,22.461,-21.973,-81.543,35.645,0.000
1742813841.723,-0.488,-28.809,-63.965,14.160,0.000
1742813841.727,-8.301,-29.297,-62.988,7.324,0.000
1742813841.731,-4.395,-30.762,-55.176,9.277,0.000
1742813841.735,-7.812,-33.691,-31.250,-1.953,0.000
1742813841.739,-16.602,-30.273,-15.625,-7.812,0.000
